original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
5378,20180825-062128_451_live,9,"Well I should be getting off here soon.  The beautiful day outside is calling for me and the carnival starts soon.  Again, it was a pleasure meeting you and many many thanks for your kind generosity in the form of a donation. I will tell everyone about you today!",Conversation Management,Conversation Closing,Conversation Closing
5380,20180825-210735_192_live,0,"Hello, would you like to donate to our charity called Save the Children? Millions of syrian children have grown up facing daily threats of violence this will be a step towards saving children world wide!",Call to Action,Call to Action,Moral Appeal
5382,20180825-210735_192_live,1,"They donate to ensuring children's rights to health, education, safety, etc. Convince your partner their donation will make a tangible impact for the world",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5384,20180825-210735_192_live,2,You could find that out here at this website.  URL do you have an idea of how much you would like to donate?,Conversation Management,Logistics / Coordination,Donation Baseline / Habit Probe
5386,20180825-210735_192_live,3,Sure thing! You would like to donate a dollar a day?,Call to Action,Call to Action,Framing
5388,20180825-210735_192_live,4,You just tell me how much do you like to donate to the charity now? Then I'll go to the website and set everything up. I'll have the research team collect the donate and send it to Save the Children.,Call to Action,Call to Action,Logistics / Coordination
5390,20180825-210735_192_live,5,The children are going to really appreciate this!,Emotional Influence,Empathy Appeal,Empathy Appeal
5392,20180825-210735_192_live,6,I'm going to tell you some information while i get the paper work ready about the charity if that's okay with you,Conversation Management,Permission / Time Check,Permission / Time Check
5394,20180825-210735_192_live,7,"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Authority / Expertise,Credibility Appeal,Non-persuasive Other
5396,20180825-210735_192_live,8,This charity also support children in the United States as well as Rohingya. I have some of the paper work together ho much did you want to donate right now again?,Conversation Management,Logistics / Coordination,Call to Action
5398,20180825-210735_192_live,9,Okay got it! ,Conversation Management,Acknowledgement,Acknowledgement
5400,20180825-070900_49_live,0,Hi there how are you doing today?,Conversation Management,Greeting / Rapport,Greeting / Rapport
5402,20180825-070900_49_live,1,"I am doing really good. So, what are you up to today?",Conversation Management,Greeting / Rapport,Greeting / Rapport
5404,20180825-070900_49_live,2,I was going to ask you if you would be interested in donating to Save the Children. How do you feel about this charity?,Call to Action,Call to Action,Charity Awareness Probe
5406,20180825-070900_49_live,3,They provide kids with the basic things they need like food and clothing. I really like their mission. I really feel badly for the kids. Don't you?,Rational / Impact Appeal,Rational Appeal,Sympathy Appeal
5408,20180825-070900_49_live,4,They are based in CT. I feel that it would be easy to donate. I know I spend on little things like a candy bar or gum. I know I could give up spending on this and it would help the kids. Could you donate anything to them?,Rational / Impact Appeal,Rational Appeal,
5410,20180825-070900_49_live,5,Wow! that is so great. Thank you so much. Are you hoping that the money goes to a certain cause like food or clothes?,Conversation Management,Acknowledgement,Charity Awareness Probe
5412,20180825-070900_49_live,6,Yes! I think that is a great idea. I am glad you decided to be part of this really great cause. Have you ever donated to a charity before this?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
5414,20180825-070900_49_live,7,You do not have to do anything else. I am really glad that you donated. What are your other plans for the day today?,Conversation Management,Acknowledgement,Acknowledgement
5416,20180825-070900_49_live,8,"Yes, I also plan on having a day of fun too. I am hoping to find some photo albums and get those worked on. Do you still get printed pictures or do you do all digital pictures?",Conversation Management,Greeting / Rapport,Non-persuasive Other
5418,20180825-070900_49_live,9,"I have a really old digital camera. I also have a smartphone, but I am thinking about getting a newer one. I have heard the cameras on the new smartphones are good. Do you have a smartphone that takes good pictures?",Conversation Management,Greeting / Rapport,Non-persuasive Other
5420,20180825-081859_875_live,0,Hello! Are you aware of Save the Children organization?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
5422,20180825-081859_875_live,1,"Save the Children is an international non-governmental organization. It's mission is promote children's rights, provide relief and aid children in developing countries.",Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
5424,20180825-081859_875_live,2,While it is true that relief is also needed domestically. The stand of living in developing nations does not compare with our own. Most of these nations are war zones and children face this daily threat of violence against them.,Rational / Impact Appeal,Rational Appeal,Moral Appeal
5426,20180825-081859_875_live,3,"This is where your donation would help make a difference for these children. Your donation would assist the Save the Children organization in promoting their mission statement. Small donations really do add up and make a difference. Finally, I am also a fan of animal charities.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5428,20180825-081859_875_live,4,My charity of choice is Save the Children. I strongly identify with their causes and goals.,Norms / Morality / Values,Appeal to Values,Appeal to Values
5430,20180825-081859_875_live,5,I donate money to this organization and would encourage you to do the same. Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,Call to Action,Call to Action,Social Proof
5432,20180825-081859_875_live,6,I appreciate your help in supporting this cause. I would consider volunteering my time in addition to the money. I believe it would be a valuable experience. What other charities do you support or is your charity of choice?,Conversation Management,Acknowledgement,Charity Awareness Probe
5434,20180825-081859_875_live,7,"That is great! Animal charities are pretty great too! And I'm only familiar with the name with organization that make dreams come true, but nonetheless would like to learn more about them.",Conversation Management,Greeting / Rapport,Acknowledgement
5436,20180825-081859_875_live,8,That sounds awesome and am glad to see celebrities get involved. Their involvement often helps to expand these charities' missions. ,Social Influence,Social Proof,Acknowledgement
5438,20180825-081859_875_live,9,I definitely agree with all those points. Their support can make the difference between making a charity reach its goals or not. ,Social Influence,Social Proof,Rational Appeal
5440,20180825-125810_869_live,0,Hey!I Was wondering if you would be interested in donating To a charity called Save the children?,Conversation Management,Permission / Time Check,Charity Awareness Probe
5442,20180825-125810_869_live,1,"Save the Children is an international Non- governmental orginaztion that promotes children's rights, provides relied and helps support children in developing country.",Authority / Expertise,Credibility Appeal,Non-persuasive Other
5444,20180825-125810_869_live,2,"The Money you donate will help provide children help during times of natural  disasters, as well as help to further their education. Save the children also provides options for mental health help.  ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5446,20180825-125810_869_live,3,"We do Offer programs where you You can choose to sponsor a child in the US, or sponsor a child from around the world!",Exchange / Incentives,Rewarding Activity,Framing
5448,20180825-125810_869_live,4,There is not a minimum amount! you can donate what ever you would like! Remember every penny Donated is another step towards bettering a child's future,Call to Action,Call to Action,Rational Appeal
5450,20180825-125810_869_live,5,"Save the children has been round for almost 100 years! save the children was founded on april 15,1919",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5452,20180825-125810_869_live,6,The research team will collect all donations and then it to Save the children today!,Call to Action,Call to Action,Call to Action
5454,20180825-125810_869_live,7,The research team should send you an email after your donation is sent!,Conversation Management,Logistics / Coordination,Acknowledgement
5456,20180825-125810_869_live,8,"Your Donation will be directly Deducted from your task payment. You should be able to choose any amount on your side, and when the task is over you should recive and email from the research team!",Logistics / Coordination,Logistics / Coordination,Logistics / Coordination
5458,20180825-125810_869_live,9,I'm not completely sure about that.,Conversation Management,Logistics / Coordination,Acknowledgement
5460,20180825-090032_956_live,0,"Hi, how are you today?  Have you ever considered donating to Save the Children?  It is a great kids'",Conversation Management,Greeting / Rapport,Greeting / Rapport
5462,20180825-090032_956_live,1,I'm good.  Save the Children is one of the best children's charities around.  They do really great work.,Authority / Expertise,Credibility Appeal,Credibility Appeal
5464,20180825-090032_956_live,2,"Yes, they really do.  It is an international organization that promotes children's rights and provides relief in developing countries.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5466,20180825-090032_956_live,3,Save the Children is proud to be named one of the MacArthur Foundation 100&Change Charities with Bold Solutions.,Authority / Expertise,Credibility Appeal,Credibility Appeal
5468,20180825-090032_956_live,4,Every charity needs to be organized in order to help the people it represents.  It is 100% dedicated to helping children.  You can donate as much or as little as you want.  The cost of a cup of coffee even.,Rational / Impact Appeal,Rational Appeal,Framing
5470,20180825-090032_956_live,5,"I agree, there are some bad charities out there.  This is not one.  They have never waivered in their devotion to helping children since they established in 1919.",Authority / Expertise,Credibility Appeal,Credibility Appeal
5472,20180825-090032_956_live,6,"n fiscal year 2017, 86% of all expenditures went to program services. You can donate by clicking on a link at the end of this task. Just donating a small portion of your earnings are a big help.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5474,20180825-090032_956_live,7,Yes they did. They use  9 out of every 10 dollars spent  towards programs and services for children and families in need. They keep administrative costs low so that more funding goes to children's programs.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
5476,20180825-090032_956_live,8,"They mostly use press releases.  I don't really see much in the way of internet ads.  Seriously though,  just think about giving up 1 cup of coffee/drink a day or just donating though the link at the end of this task what you would be making off of it.  Every little bit helps.  Small donations are better than nothing at all!",Rational / Impact Appeal,Rational Appeal,Framing
5478,20180825-090032_956_live,9,"Perfect, shall you be donating at the end of this task?",Call to Action,Call to Action,Commitment and Consistency
5480,20180825-051852_679_live,0,What's going on buddy?,Conversation Management,Greeting / Rapport,Greeting / Rapport
5482,20180825-051852_679_live,1,You have any children?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
5484,20180825-051852_679_live,2,Why don't you have any children? Didn't get one past the glove,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
5486,20180825-051852_679_live,3,After Obama initiated his massive drone strikes on Yemen and Syria there are lots of children who are in peril. Would you like to help them out?,Emotional Influence,Empathy Appeal,Empathy Appeal
5488,20180825-051852_679_live,4,You can't donate even 20 pennies to these poor little people that your tax dollars have helped to mercilessly assassinate! ,Threat / Pressure,Threat,Guilt Induction
5490,20180825-051852_679_live,5,So how do you eat food if you have 000?,Conversation Management,Qualification / Segmentation,Logical Appeal
5492,20180825-051852_679_live,6,So you can't donate at all?,Conversation Management,Donation Baseline / Habit Probe,Guilt Induction
5494,20180825-051852_679_live,7,"I've been homeless for 5 years, it's terrible being a white male these days. You don't fit any prospective employers profile. ",Emotional Influence,Storytelling,Storytelling
5496,20180825-051852_679_live,8,Can I submit this? It's been 15 minutes and your slave wages are not worth it,Threat / Pressure,Threat,Conversation Closing
5498,20180825-051852_679_live,9,Fuck this ,Threat / Pressure,Threat,Non-persuasive Other
5500,20180825-084657_775_live,0,Hello there!,Conversation Management,Greeting / Rapport,Greeting / Rapport
5502,20180825-084657_775_live,1,"Fine. We\'re doing this drive for ""Save the Children,"" and we were hoping for you to donate.",Call to Action,Call to Action,Call to Action
5504,20180825-084657_775_live,2,By committing some of your earnings for this HIT towards the cause.,Commitment / Consistency,Activation of Personal Commitment,Activation of Personal Commitment
5506,20180825-084657_775_live,3,What are you not sure about?,Conversation Management,Qualification / Segmentation,Donation Baseline / Habit Probe
5508,20180825-084657_775_live,4,I read an article yesterday that said 1000 children were saved from hunger shelters just by donations from online workers.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
5510,20180825-084657_775_live,5,That's really great. Do you need more info about this program?,Conversation Management,Acknowledgement,Charity Awareness Probe
5512,20180825-084657_775_live,6,"You're so kind, the children will really appreciate it. Have you sponsored any children in the past?",Commitment / Consistency,Activation of Personal Commitment,Appeal to Values
5514,20180825-084657_775_live,7,"Oh, great. Have you heard of ""Save the Children"" before?",Conversation Management,Charity Awareness Probe,Charity Awareness Probe
5516,20180825-084657_775_live,8,"Actually, the donation has to be in relation to your payment, what percentage of that are you willing to donate?",Exchange / Incentives,Reciprocity,Framing
5518,20180825-084657_775_live,9,"5%, that wonderful. The children will greatly appreciate it. Thank you so much for your kindness and have a great day.",Conversation Management,Acknowledgement,Moral Appeal
5520,20180825-061105_792_live,0,Hello.,Conversation Management,Greeting / Rapport,Greeting / Rapport
5522,20180825-061105_792_live,1,"I am supposed to ask you if you care about people being killed in Syria and things like that, I don't want to cause you any emotional discomfort by talking about suffering people. Is that okay?  To talk about suffering people and children for a minute?",Emotional Influence,Fear Appeal,Permission / Time Check
5524,20180825-061105_792_live,2,"I think the refugee crisis is crazy, I am not sure what I would do if I was raising my kids in Syria.  If anyone could have fun in those spots it's kids though.  ",Emotional Influence,Empathy Appeal,Emotional Appeal
5526,20180825-061105_792_live,3,"I actually didn't think of it like that.  I am a parent too, it feels so foreign what they are going through.  This whole chat thing is supposed to get me to get you to donate to Save the Children, but now I think they got me to do it instead! I don't know if that's really okay to do though. ",Emotional Influence,Empathy Appeal,Non-persuasive Other
5528,20180825-061105_792_live,4,"No, that's relevant. Really relevant. It's really easy to get cynical about life and if people really benefit from any of this.  I usually donate in hopes I can at least feel like I did my part.  If I donated and some corrupt person took it, that's the worst karma and even worst scandal imaginable.  The people who donate and people who are worrying about that are the same people.  You're not a horrible person it sounds like, just worried if what you do even matters.  ",Emotional Influence,Empathy Appeal,Self-feeling Appeal
5530,20180825-061105_792_live,5,"I feel like you are smart enough and definitely moral enough to be the boss.  I hope you have success  in your field. I don't have that great of a job or boss but I'd still  I would like to match a donation with you if you're willing to try help kids with me.  I am parent and I feel like I need extra help sometimes too , but knowing that I could REALLY help them makes feel like a better parent.",Call to Action,Call to Action,
5532,20180825-061105_792_live,6,"I don't want you to donate any more than you want, so if you want to donate how much do you to do? I think any amount you give (especially more) will definitely help and I want you to know that it would be deducted from you task payment. Whatever you choose to do or the amount you want to give, I feel like you've changed my mind about charity, not the other way around, so I want to thank you for that.",Call to Action,Call to Action,Pre-giving
5534,20180825-061105_792_live,7,"If you're doing this task then you might be able to afford it, but if you can I'd probably say you should really donate it all just this one time.  So whatever you donate I can donate as well, and can actually help each other donate to the kids.  You want to match all our payment to Save the Children? Would that be okay? Or should we lock in your half payment?",Call to Action,Call to Action,Reciprocity
5536,20180825-061105_792_live,8,"Sure let's do it. I might donate a little more I don't know how to do that but, I think they deserve it, I'm convince by talking to you that people regardless of how they feel about refugees that they can still care about kids. ",Call to Action,Call to Action,Appeal to Values
5538,20180825-061105_792_live,9,"Oh, I didn't think of it like that either.  I always picture like you said about your boss, one kid.  But you're right it's a whole generation, that's A LOT of people.  I always forget that kids turn into adults, i mean not that part, but the whole part where they are all apart of the community! :)",Rational / Impact Appeal,Rational Appeal,Appeal to Values
5540,20180825-091558_618_live,0,"hello, do you like charities ?",Conversation Management,Qualification / Segmentation,Charity Awareness Probe
5542,20180825-091558_618_live,1,do you know save the children charity ?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
5544,20180825-091558_618_live,2,"some info about save the children,they are a non-profit organisation who help children in the world, what you think now about this organization ?",Rational / Impact Appeal,Rational Appeal,Charity Awareness Probe
5546,20180825-091558_618_live,3,"they help children in america to, whenever is needed, they helped Hawaii too, with hurricane lane .",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5548,20180825-091558_618_live,4,"this is a charity in america too, are you willing to donate some of your money in the end of the survey? ",Call to Action,Call to Action,Commitment and Consistency
5550,20180825-091558_618_live,5,"but they are not your money , some of the hit winning, if you like too.",Exchange / Incentives,Reciprocity,Non-persuasive Other
5552,20180825-091558_618_live,6,well do you have faith in this kind of organizations?,Conversation Management,Qualification / Segmentation,Credibility Appeal
5554,20180825-091558_618_live,7,do you ever heard something bad about this kind of charities ?,Conversation Management,Qualification / Segmentation,Fear Appeal
5556,20180825-091558_618_live,8,did you heard that they now do every payment taken from people transparet?,Authority / Expertise,Credibility Appeal,Credibility Appeal
5558,20180825-091558_618_live,9,"at last , how much are you willing to donate in the end of the survey? you can donate as much money you want because they really are not real money, you can make a good impression for future hits.",Exchange / Incentives,Rewarding Activity,Framing
5560,20180825-091558_618_live,10,"you would help me , thank you for your conversation",Conversation Management,Acknowledgement,Acknowledgement
5561,20180825-044613_233_live,0,Hello. Do you have children?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
5563,20180825-044613_233_live,1,"No, but I do enjoy their company. Are you aware of the large amount of children in developing countries that could use assitance?",Conversation Management,Charity Awareness Probe,Guilt Induction
5565,20180825-044613_233_live,2,Yes there are. Have you ever heard of the organization Save the Children and are you aware of what they do?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
5567,20180825-044613_233_live,3,"Well they have a presence in every continent except Antarctica. Domestically, they provide early education, literacy, and health and disaster preparedness programs.  ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5569,20180825-044613_233_live,4,"They are very renowned. Internationally, they are pioneers in health education and protection programs. They create long lasting results to save lives and the quality of those lives. ",Authority / Expertise,Credibility Appeal,Credibility Appeal
5571,20180825-044613_233_live,5,I do not know anyone personally but but they are easily contacted through their website. They are also involved in emergency response and global advocacy.  ,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5573,20180825-044613_233_live,6,I am not personally but I would happily volunteer my time for this organization. Have you ever donated to a charity?,Commitment / Consistency,Activation of Personal Commitment,Donation Baseline / Habit Probe
5575,20180825-044613_233_live,7,I am very glad to hear that. Charity is very important and everyone should have a fighting chance in life. Is this an organization you would consider donating to?,Call to Action,Call to Action,Activation of Personal Commitment
5577,20180825-044613_233_live,8,86% of expenditures for this organization go directly to program services. ,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5579,20180825-044613_233_live,9,I have in the past. I believe they an amazing organization. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,Call to Action,Call to Action,Pre-giving
5581,20180825-044613_233_live,10,I appreciate that and so does Save the Children. Thank you so much. It truly will go to a good cause. ,Conversation Management,Acknowledgement,Acknowledgement
5582,20180825-075913_208_live,0,Would you be interested in donating to Save the Children ?,Call to Action,Call to Action,Call to Action
5584,20180825-075913_208_live,1,"Save the Children helps to promote childrens rights to health, education, and safety.",Rational / Impact Appeal,Rational Appeal,Appeal to Values
5586,20180825-075913_208_live,2,At this point a lot of the focus is children in war zones. some of these donations can address the problem of the daily threat of violence,Rational / Impact Appeal,Rational Appeal,Moral Appeal
5588,20180825-075913_208_live,3,"I'm not sure, but I think that would be a great idea. Maybe you could get more information on that by getting in contact with someone at  URL ",Conversation Management,Logistics / Coordination,Logistics / Coordination
5590,20180825-075913_208_live,4,"They help to provide basic health care, provide disaster relief, and help to ensure their rights to education and safety. How much would you like to donate ? Your donation will be deducted from your task payment.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5592,20180825-075913_208_live,5,I do believe you have to go to  URL ,Conversation Management,Logistics / Coordination,Call to Action
5594,20180825-075913_208_live,6,"Yes, that sounds good. How much would that be ?",Conversation Management,Logistics / Coordination,Logistics / Coordination
5596,20180825-075913_208_live,7,I do believe you can get that information from their website. Thank you so much for taking the time to speak with me and also for your donation. Take care and have a great day.,Conversation Management,Conversation Closing,Acknowledgement
5598,20180825-075913_208_live,8,"Yes it does. Now, how do we submit this hit ?",Conversation Management,Logistics / Coordination,Logistics / Coordination
5600,20180825-075913_208_live,9,"You were asking about the hurricane relief in Hawaii. From what I understand, they are on stand-by and ready to provide help if needed. I think that is awesome. I had no idea they operated in the USA also. I always thought these organizations focused on other countries",Rational / Impact Appeal,Rational Appeal,Acknowledgement
5602,20180825-075913_208_live,10,I also found out that 86% of donations goes to services and only 5% goes to management. I was glad to hear that. It was nice chatting with you. I enjoyed this. You take care and have a good day.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5603,20180825-070857_925_live,0,Hello. I hope you are well today. I am wondering if you regularly give to charity?,Conversation Management,Greeting / Rapport,Donation Baseline / Habit Probe
5605,20180825-070857_925_live,1,I agree with you on that. I am just now watching the news about the hurricane in Hawaii and seeing the damage already done.,Emotional Influence,Empathy Appeal,Acknowledgement
5607,20180825-070857_925_live,2,I know. I actually have family living there. The rains over the past two days have been awful.,Emotional Influence,Empathy Appeal,Storytelling
5609,20180825-070857_925_live,3,I have been looking into ways to help. I see that an organization called Save the Children is already mobilizing to help.,Rational / Impact Appeal,Rational Appeal,Framing
5611,20180825-070857_925_live,4,They have an emergency response team ready to go. They are preparing child-specific and focused supplies in case they are needed. They are in touch with officials in Hawaii.,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5613,20180825-070857_925_live,5,Definitely more in need of monetary donations. They are asking people to donate to their emergency fund.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
5615,20180825-070857_925_live,6,"If you are willing, you can actually donate from your payment from this hit!",Call to Action,Call to Action,Framing
5617,20180825-070857_925_live,7,They can deduct directly from your payment from this task.,Exchange / Incentives,Reciprocity,Framing
5619,20180825-070857_925_live,8,"How nice of you. Yes, I can give you that information, but would you like to start with donating part or all of your payment for this hit?",Call to Action,Call to Action,Framing
5621,20180825-070857_925_live,9,"Wow! That is very generous. I am still thinking, though, that the small donations made from these hits are so easy to donate and can really add up if we all pitch in together! You can even just give a very small portion of your compensation from this hit.",Social Influence,Social Proof,Unity
5623,20180825-070857_925_live,10,Thank you so much. Your .30 will be greatly appreciated by Save the Children. Go to  URL to learn more an donate! Thank you for your generosity!,Call to Action,Call to Action,Call to Action
5624,20180825-055034_34_live,0,Hello,Conversation Management,Greeting / Rapport,Greeting / Rapport
5626,20180825-055034_34_live,1,"Would you like to donate a partial or full amount of your payment from this task to Save the Children. Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Call to Action,Call to Action,Appeal to Values
5628,20180825-055034_34_live,2,"All of the money you choose to donate will go to the charity. Donating any amount will make a difference, every little donation adds up! You can choose to donate any amount from $0 to all your payment from this task.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5630,20180825-055034_34_live,3,"Save the Children is a nonprofit. 0% of the donations are used to profit the organization or anyone working for the organization. All donations are used to benefit the children, both directly and indirectly (such as advertisement to help garner more donations). ",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5632,20180825-055034_34_live,4,Staff are volunteers. They also donate their own time and resources,Rational / Impact Appeal,Rational Appeal,Rational Appeal
5634,20180825-055034_34_live,5,Save the Children provides support to children in need in 120 countries. For more info:  URL s/what-we-do/where-we-work,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5636,20180825-055034_34_live,6,"A recent successful result came from 2017 from a program in Malawi to help save newborn lives. Health experts trained 1,700 frontline health workers, and they, in turn, cared for 379,000 babies, including successfully resuscitating 19,000.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5638,20180825-055034_34_live,7,Save the Children was launched in 1919,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5640,20180825-055034_34_live,8,"Yes, Save the Children also provides aid to children in poverty in the US through education, protection, and emergency programs.",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5642,20180825-055034_34_live,9,"Yes, but with focus on communities with substantial poverty.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5644,20180825-055034_34_live,10,You can sponsor a specific child in the US or other countries. ,Call to Action,Call to Action,Framing
5645,20180825-092012_333_live,0,are you going to donate,Call to Action,Call to Action,Call to Action
5647,20180825-092012_333_live,1,children's charity this one,Call to Action,Call to Action,Non-persuasive Other
5649,20180825-092012_333_live,2,to help save children that are less fortunate then most children. ,Emotional Influence,Empathy Appeal,Moral Appeal
5651,20180825-092012_333_live,3,save the children,Call to Action,Call to Action,Moral Appeal
5653,20180825-092012_333_live,4,the money is going to the children ,Rational / Impact Appeal,Rational Appeal,Moral Appeal
5655,20180825-092012_333_live,5,like 5 dollars,Call to Action,Call to Action,Framing
5657,20180825-092012_333_live,6,the research team will collect all donations and send it to save the children,Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5659,20180825-092012_333_live,7,im not really sure,Conversation Management,Non-persuasive Other,Non-persuasive Other
5661,20180825-092012_333_live,8,its for the children,Emotional Influence,Empathy Appeal,Moral Appeal
5663,20180825-092012_333_live,9,no i havent but i will today,Call to Action,Call to Action,Non-persuasive Other
5665,20180825-042845_49_live,0,"Hello, are you interested in protection of rights of children?",Conversation Management,Qualification / Segmentation,Charity Awareness Probe
5667,20180825-042845_49_live,1,"There is organisation called Save the Children and donations are essential to ensure children's rights to health,education and safety.",Rational / Impact Appeal,Rational Appeal,Moral Appeal
5669,20180825-042845_49_live,2,"Here is their website, URL  They help children all around the world.For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence.",Rational / Impact Appeal,Rational Appeal,Storytelling
5671,20180825-042845_49_live,3,"As you mentioned,this organisation has different programs,and one of them is to ""sponsor"" child.You choose the location.",Call to Action,Call to Action,Framing
5673,20180825-042845_49_live,4,"No,but i want to donate some amount from this survey.Research team will send money to this organisation.",Call to Action,Call to Action,Logistics / Coordination
5675,20180825-042845_49_live,5,"Yes,the amount you want to donate is deducted from your reward.",Exchange / Incentives,Rewarding Activity,
5677,20180825-042845_49_live,6,"I know that my small donation is not enough,so i am asking you to also donate some small percentage from reward.",Social Influence,Social Proof,Framing
5679,20180825-042845_49_live,7,"Cool,the reward for this task is 0.30$ so i am  thinking about donating like 0.15$",Exchange / Incentives,Reciprocity,Pre-giving
5681,20180825-042845_49_live,8,"Well, if you go for full 0.30 i will have no moral right to donate less.",Norms / Morality / Values,Moral Appeal,Reciprocity
5683,20180825-042845_49_live,9,"Agree,small amount of money for US can mean a lot for people in third world countries.So agreed?We donate full reward each??",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5685,20180825-071316_761_live,0,Hi,Conversation Management,Greeting / Rapport,Greeting / Rapport
5687,20180825-071316_761_live,1,"Yes, I am very fond of Save the Children.",Authority / Expertise,Credibility Appeal,Acknowledgement
5689,20180825-071316_761_live,2,"They are an international charity that provideds food, basic supplies and reief to children in developing countries",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5691,20180825-071316_761_live,3,"Yes, I try to make a donation at least annually",Conversation Management,Donation Baseline / Habit Probe,Social Proof
5693,20180825-071316_761_live,4,I would suggest around $20.  That is enough to signifigantly help a child for several weeks while it is just a week's worth of coffee for you.,Rational / Impact Appeal,Rational Appeal,Framing
5695,20180825-071316_761_live,5,"Your donation would be of great help and most would go directly to helping these kids.  Meanwhile, you could feel great about helping those kids who really need your support!",Emotional Influence,Emotional Appeal,Self-feeling Appeal
5697,20180825-071316_761_live,6,Your donation will be directly deducted from your task payment.  You can do that right now.  How much would you likfe to donate?,Call to Action,Call to Action,Call to Action
5699,20180825-071316_761_live,7,Ok. The research team will collect all donations and send it to Save the Children.,Conversation Management,Logistics / Coordination,Logistics / Coordination
5701,20180825-071316_761_live,8,That great and thanks for your generousity!,Conversation Management,Acknowledgement,Acknowledgement
5703,20180825-071316_761_live,9,You are a good person.  Your donation will be very meaningful to needy children.,Norms / Morality / Values,Self-feeling Appeal,Self-feeling Appeal
5705,20180825-060648_863_live,0,Save the Children helps children all around the world and they need your help.,Rational / Impact Appeal,Rational Appeal,Moral Appeal
5707,20180825-060648_863_live,1,I volunteer at a local food bank. Many of the families that come to us have young children. Actions as well as donations help keep the Charity afloat and able to help children around the world ,Social Influence,Social Proof,Moral Appeal
5709,20180825-060648_863_live,2,"Bucket lists are all well and good but sometimes we help out now. For instance, millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",Rational / Impact Appeal,Rational Appeal,Commitment and Consistency
5711,20180825-060648_863_live,3,"Save the Children works with government around the world to keep children from harm and abuse from crises situations by providing safe spaces for children to play, socialize, learn, and express themselves as they rebuild their lives. Child Friendly Spaces also serve as a protective mechanism from abuse and psychosocial distress helping children both during and following crises.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5713,20180825-060648_863_live,4,"Volunteering and helping others with your time and effort is great, but in the meantime how can you help? Donations let you help until you have the time and focus to knock those activities off your list.",Call to Action,Call to Action,Framing
5715,20180825-060648_863_live,5,Well you can donate now to Save the Children. Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.,Call to Action,Call to Action,Call to Action
5717,20180825-060648_863_live,6,"I have worked with some charities in the past, Our Daily Bread for one, and I like the fact that Save the Children's focus is solely on the welfare of children. They are a particularly vulnerable group and I find it reassuring that nearly 90% of every dollar you give goes straight to their mission _ helping children grow up healthy, learning and safe. This percentage is adjusted each year end _ as of 2017, it is 86%. The rest they for running their programs and raising funds to help more children.  ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5719,20180825-060648_863_live,7,Would you help out in this small way? Your donation would be helping children really even a little bit helps so much. How much do you like to donate to the charity now?,Call to Action,Call to Action,Appeal to Values
